 R11 R12 R21 R22
 -0.329085e+00 -0.329085e+00 -0.329085e+00 -0.329085e+00
 -0.239930e+00 -0.239930e+00 -0.239930e+00 -0.239930e+00
 -0.181968e+00 -0.181968e+00 -0.181968e+00 -0.181968e+00
 -0.142394e+00 -0.142394e+00 -0.142394e+00 -0.142394e+00
 -0.114305e+00 -0.114305e+00 -0.114305e+00 -0.114305e+00
 -0.937305e-01 -0.937305e-01 -0.937305e-01 -0.937305e-01
 -0.782594e-01 -0.782594e-01 -0.782594e-01 -0.782594e-01
 -0.663651e-01 -0.663651e-01 -0.663651e-01 -0.663651e-01
 -0.570449e-01 -0.570449e-01 -0.570449e-01 -0.570449e-01
 -0.496201e-01 -0.496201e-01 -0.496201e-01 -0.496201e-01
 -0.436186e-01 -0.436186e-01 -0.436186e-01 -0.436186e-01
 -0.387047e-01 -0.387047e-01 -0.387047e-01 -0.387047e-01
 -0.346347e-01 -0.346347e-01 -0.346347e-01 -0.346347e-01
 -0.312287e-01 -0.312287e-01 -0.312287e-01 -0.312287e-01
 -0.283515e-01 -0.283515e-01 -0.283515e-01 -0.283515e-01
 -0.259003e-01 -0.259003e-01 -0.259003e-01 -0.259003e-01
 -0.237956e-01 -0.237956e-01 -0.237956e-01 -0.237956e-01
 -0.219755e-01 -0.219755e-01 -0.219755e-01 -0.219755e-01
 -0.203911e-01 -0.203911e-01 -0.203911e-01 -0.203911e-01
 -0.190035e-01 -0.190035e-01 -0.190035e-01 -0.190035e-01
 -0.177813e-01 -0.177813e-01 -0.177813e-01 -0.177813e-01
 -0.166992e-01 -0.166992e-01 -0.166992e-01 -0.166992e-01
 -0.157364e-01 -0.157364e-01 -0.157364e-01 -0.157364e-01
 -0.148757e-01 -0.148757e-01 -0.148757e-01 -0.148757e-01
 -0.141031e-01 -0.141031e-01 -0.141031e-01 -0.141031e-01
 -0.134067e-01 -0.134067e-01 -0.134067e-01 -0.134067e-01
 -0.127766e-01 -0.127766e-01 -0.127766e-01 -0.127766e-01
 -0.122045e-01 -0.122045e-01 -0.122045e-01 -0.122045e-01
 -0.116833e-01 -0.116833e-01 -0.116833e-01 -0.116833e-01
 -0.112069e-01 -0.112069e-01 -0.112069e-01 -0.112069e-01
 -0.107701e-01 -0.107701e-01 -0.107701e-01 -0.107701e-01
 -0.103685e-01 -0.103685e-01 -0.103685e-01 -0.103685e-01
 -0.999825e-02 -0.999825e-02 -0.999825e-02 -0.999825e-02
 -0.965603e-02 -0.965603e-02 -0.965603e-02 -0.965603e-02
 -0.933893e-02 -0.933893e-02 -0.933893e-02 -0.933893e-02
 -0.904441e-02 -0.904441e-02 -0.904441e-02 -0.904441e-02
 -0.877025e-02 -0.877025e-02 -0.877025e-02 -0.877025e-02
