 R11 R12 R21 R22
 -0.141770e-02 -0.141770e-02 -0.141770e-02 -0.141770e-02
 -0.127324e-02 -0.127324e-02 -0.127324e-02 -0.127324e-02
 -0.114812e-02 -0.114812e-02 -0.114812e-02 -0.114812e-02
 -0.103921e-02 -0.103921e-02 -0.103921e-02 -0.103921e-02
 -0.943952e-03 -0.943952e-03 -0.943952e-03 -0.943952e-03
 -0.860263e-03 -0.860263e-03 -0.860263e-03 -0.860263e-03
 -0.786428e-03 -0.786428e-03 -0.786428e-03 -0.786428e-03
 -0.721029e-03 -0.721029e-03 -0.721029e-03 -0.721029e-03
 -0.662883e-03 -0.662883e-03 -0.662883e-03 -0.662883e-03
 -0.611004e-03 -0.611004e-03 -0.611004e-03 -0.611004e-03
 -0.564559e-03 -0.564559e-03 -0.564559e-03 -0.564559e-03
 -0.522846e-03 -0.522846e-03 -0.522846e-03 -0.522846e-03
 -0.485271e-03 -0.485271e-03 -0.485271e-03 -0.485271e-03
 -0.451324e-03 -0.451324e-03 -0.451324e-03 -0.451324e-03
 -0.420572e-03 -0.420572e-03 -0.420572e-03 -0.420572e-03
 -0.392641e-03 -0.392641e-03 -0.392641e-03 -0.392641e-03
 -0.367209e-03 -0.367209e-03 -0.367209e-03 -0.367209e-03
 -0.343998e-03 -0.343998e-03 -0.343998e-03 -0.343998e-03
 -0.322766e-03 -0.322766e-03 -0.322766e-03 -0.322766e-03
 -0.303302e-03 -0.303302e-03 -0.303302e-03 -0.303302e-03
 -0.285422e-03 -0.285422e-03 -0.285422e-03 -0.285422e-03
 -0.268965e-03 -0.268965e-03 -0.268965e-03 -0.268965e-03
 -0.253788e-03 -0.253788e-03 -0.253788e-03 -0.253788e-03
 -0.239768e-03 -0.239768e-03 -0.239768e-03 -0.239768e-03
 -0.226793e-03 -0.226793e-03 -0.226793e-03 -0.226793e-03
 -0.214765e-03 -0.214765e-03 -0.214765e-03 -0.214765e-03
 -0.203598e-03 -0.203598e-03 -0.203598e-03 -0.203598e-03
 -0.193213e-03 -0.193213e-03 -0.193213e-03 -0.193213e-03
 -0.183543e-03 -0.183543e-03 -0.183543e-03 -0.183543e-03
 -0.174525e-03 -0.174525e-03 -0.174525e-03 -0.174525e-03
 -0.166103e-03 -0.166103e-03 -0.166103e-03 -0.166103e-03
 -0.158229e-03 -0.158229e-03 -0.158229e-03 -0.158229e-03
 -0.150856e-03 -0.150856e-03 -0.150856e-03 -0.150856e-03
 -0.143946e-03 -0.143946e-03 -0.143946e-03 -0.143946e-03
 -0.137460e-03 -0.137460e-03 -0.137460e-03 -0.137460e-03
 -0.131367e-03 -0.131367e-03 -0.131367e-03 -0.131367e-03
 -0.125637e-03 -0.125637e-03 -0.125637e-03 -0.125637e-03
 -0.120241e-03 -0.120241e-03 -0.120241e-03 -0.120241e-03
 -0.115156e-03 -0.115156e-03 -0.115156e-03 -0.115156e-03
 -0.110360e-03 -0.110360e-03 -0.110360e-03 -0.110360e-03
 -0.105830e-03 -0.105830e-03 -0.105830e-03 -0.105830e-03
 -0.101549e-03 -0.101549e-03 -0.101549e-03 -0.101549e-03
 -0.974995e-04 -0.974995e-04 -0.974995e-04 -0.974995e-04
 -0.936656e-04 -0.936656e-04 -0.936656e-04 -0.936656e-04
 -0.900328e-04 -0.900328e-04 -0.900328e-04 -0.900328e-04
 -0.865880e-04 -0.865880e-04 -0.865880e-04 -0.865880e-04
 -0.833189e-04 -0.833189e-04 -0.833189e-04 -0.833189e-04
 -0.802141e-04 -0.802141e-04 -0.802141e-04 -0.802141e-04
 -0.772633e-04 -0.772633e-04 -0.772633e-04 -0.772633e-04
