 log(Tmax/T) T/MeV k/T
 0.578539e-01 0.943788e+10 0.312284e+01
 0.578539e-01 0.943788e+10 0.318593e+01
 0.578539e-01 0.943788e+10 0.324902e+01
 0.578539e-01 0.943788e+10 0.331211e+01
 0.578539e-01 0.943788e+10 0.337519e+01
 0.578539e-01 0.943788e+10 0.343828e+01
 0.578539e-01 0.943788e+10 0.350137e+01
 0.578539e-01 0.943788e+10 0.356446e+01
 0.578539e-01 0.943788e+10 0.362754e+01
 0.578539e-01 0.943788e+10 0.369063e+01
 0.578539e-01 0.943788e+10 0.375372e+01
 0.578539e-01 0.943788e+10 0.381681e+01
 0.578539e-01 0.943788e+10 0.387989e+01
 0.578539e-01 0.943788e+10 0.394298e+01
 0.578539e-01 0.943788e+10 0.400607e+01
 0.578539e-01 0.943788e+10 0.406916e+01
 0.578539e-01 0.943788e+10 0.413225e+01
 0.578539e-01 0.943788e+10 0.419533e+01
 0.578539e-01 0.943788e+10 0.425842e+01
 0.578539e-01 0.943788e+10 0.432151e+01
 0.578539e-01 0.943788e+10 0.438460e+01
 0.578539e-01 0.943788e+10 0.444768e+01
 0.578539e-01 0.943788e+10 0.451077e+01
 0.578539e-01 0.943788e+10 0.457386e+01
 0.578539e-01 0.943788e+10 0.463695e+01
 0.578539e-01 0.943788e+10 0.470004e+01
 0.578539e-01 0.943788e+10 0.476312e+01
 0.578539e-01 0.943788e+10 0.482621e+01
 0.578539e-01 0.943788e+10 0.488930e+01
 0.578539e-01 0.943788e+10 0.495239e+01
 0.578539e-01 0.943788e+10 0.501547e+01
 0.578539e-01 0.943788e+10 0.507856e+01
 0.578539e-01 0.943788e+10 0.514165e+01
 0.578539e-01 0.943788e+10 0.520474e+01
 0.578539e-01 0.943788e+10 0.526782e+01
 0.578539e-01 0.943788e+10 0.533091e+01
 0.578539e-01 0.943788e+10 0.539400e+01
 0.578539e-01 0.943788e+10 0.545709e+01
 0.578539e-01 0.943788e+10 0.552018e+01
 0.578539e-01 0.943788e+10 0.558326e+01
 0.578539e-01 0.943788e+10 0.564635e+01
 0.578539e-01 0.943788e+10 0.570944e+01
 0.578539e-01 0.943788e+10 0.577253e+01
 0.578539e-01 0.943788e+10 0.583561e+01
 0.578539e-01 0.943788e+10 0.589870e+01
 0.578539e-01 0.943788e+10 0.596179e+01
 0.578539e-01 0.943788e+10 0.602488e+01
 0.578539e-01 0.943788e+10 0.608797e+01
 0.578539e-01 0.943788e+10 0.615105e+01
 0.578539e-01 0.943788e+10 0.621414e+01
 0.578539e-01 0.943788e+10 0.627723e+01
 0.578539e-01 0.943788e+10 0.634032e+01
 0.578539e-01 0.943788e+10 0.640340e+01
 0.578539e-01 0.943788e+10 0.646649e+01
 0.578539e-01 0.943788e+10 0.652958e+01
 0.578539e-01 0.943788e+10 0.659267e+01
 0.578539e-01 0.943788e+10 0.665575e+01
 0.578539e-01 0.943788e+10 0.671884e+01
 0.578539e-01 0.943788e+10 0.678193e+01
 0.578539e-01 0.943788e+10 0.684502e+01
 0.578539e-01 0.943788e+10 0.690811e+01
 0.578539e-01 0.943788e+10 0.697119e+01
 0.578539e-01 0.943788e+10 0.703428e+01
 0.578539e-01 0.943788e+10 0.709737e+01
 0.578539e-01 0.943788e+10 0.716046e+01
 0.578539e-01 0.943788e+10 0.722354e+01
 0.578539e-01 0.943788e+10 0.728663e+01
 0.578539e-01 0.943788e+10 0.734972e+01
 0.578539e-01 0.943788e+10 0.741281e+01
 0.578539e-01 0.943788e+10 0.747590e+01
 0.578539e-01 0.943788e+10 0.753898e+01
 0.578539e-01 0.943788e+10 0.760207e+01
 0.578539e-01 0.943788e+10 0.766516e+01
 0.578539e-01 0.943788e+10 0.772825e+01
 0.578539e-01 0.943788e+10 0.779133e+01
 0.578539e-01 0.943788e+10 0.785442e+01
 0.578539e-01 0.943788e+10 0.791751e+01
 0.578539e-01 0.943788e+10 0.798060e+01
 0.578539e-01 0.943788e+10 0.804368e+01
 0.578539e-01 0.943788e+10 0.810677e+01
 0.578539e-01 0.943788e+10 0.816986e+01
 0.578539e-01 0.943788e+10 0.823295e+01
 0.578539e-01 0.943788e+10 0.829604e+01
 0.578539e-01 0.943788e+10 0.835912e+01
 0.578539e-01 0.943788e+10 0.842221e+01
 0.578539e-01 0.943788e+10 0.848530e+01
 0.578539e-01 0.943788e+10 0.854839e+01
 0.578539e-01 0.943788e+10 0.861147e+01
 0.578539e-01 0.943788e+10 0.867456e+01
 0.578539e-01 0.943788e+10 0.873765e+01
 0.578539e-01 0.943788e+10 0.880074e+01
 0.578539e-01 0.943788e+10 0.886382e+01
 0.578539e-01 0.943788e+10 0.892691e+01
 0.578539e-01 0.943788e+10 0.899000e+01
 0.578539e-01 0.943788e+10 0.905309e+01
 0.578539e-01 0.943788e+10 0.911618e+01
 0.578539e-01 0.943788e+10 0.917926e+01
 0.578539e-01 0.943788e+10 0.924235e+01
 0.578539e-01 0.943788e+10 0.930544e+01
 0.578539e-01 0.943788e+10 0.936853e+01
 0.578539e-01 0.943788e+10 0.943161e+01
 0.578539e-01 0.943788e+10 0.949470e+01
 0.578539e-01 0.943788e+10 0.955779e+01
 0.578539e-01 0.943788e+10 0.962088e+01
 0.578539e-01 0.943788e+10 0.968397e+01
 0.578539e-01 0.943788e+10 0.974705e+01
 0.578539e-01 0.943788e+10 0.981014e+01
 0.578539e-01 0.943788e+10 0.987323e+01
 0.578539e-01 0.943788e+10 0.993632e+01
 0.578539e-01 0.943788e+10 0.999940e+01
 0.578539e-01 0.943788e+10 0.100625e+02
 0.578539e-01 0.943788e+10 0.101256e+02
 0.578539e-01 0.943788e+10 0.101887e+02
 0.578539e-01 0.943788e+10 0.102518e+02
 0.578539e-01 0.943788e+10 0.103148e+02
 0.578539e-01 0.943788e+10 0.103779e+02
 0.578539e-01 0.943788e+10 0.104410e+02
 0.578539e-01 0.943788e+10 0.105041e+02
 0.578539e-01 0.943788e+10 0.105672e+02
 0.578539e-01 0.943788e+10 0.106303e+02
 0.578539e-01 0.943788e+10 0.106934e+02
 0.578539e-01 0.943788e+10 0.107565e+02
 0.578539e-01 0.943788e+10 0.108195e+02
 0.578539e-01 0.943788e+10 0.108826e+02
 0.578539e-01 0.943788e+10 0.109457e+02
 0.578539e-01 0.943788e+10 0.110088e+02
 0.578539e-01 0.943788e+10 0.110719e+02
 0.578539e-01 0.943788e+10 0.111350e+02
 0.578539e-01 0.943788e+10 0.111981e+02
 0.578539e-01 0.943788e+10 0.112612e+02
 0.578539e-01 0.943788e+10 0.113242e+02
 0.578539e-01 0.943788e+10 0.113873e+02
 0.578539e-01 0.943788e+10 0.114504e+02
 0.578539e-01 0.943788e+10 0.115135e+02
 0.578539e-01 0.943788e+10 0.115766e+02
 0.578539e-01 0.943788e+10 0.116397e+02
 0.578539e-01 0.943788e+10 0.117028e+02
 0.578539e-01 0.943788e+10 0.117659e+02
 0.578539e-01 0.943788e+10 0.118289e+02
 0.578539e-01 0.943788e+10 0.118920e+02
 0.578539e-01 0.943788e+10 0.119551e+02
 0.578539e-01 0.943788e+10 0.120182e+02
 0.578539e-01 0.943788e+10 0.120813e+02
 0.578539e-01 0.943788e+10 0.121444e+02
 0.578539e-01 0.943788e+10 0.122075e+02
 0.578539e-01 0.943788e+10 0.122706e+02
 0.578539e-01 0.943788e+10 0.123336e+02
 0.578539e-01 0.943788e+10 0.123967e+02
 0.578539e-01 0.943788e+10 0.124598e+02
 0.578539e-01 0.943788e+10 0.125229e+02
 0.578539e-01 0.943788e+10 0.125860e+02
 0.115708e+00 0.890735e+10 0.157718e-01
 0.115708e+00 0.890735e+10 0.262864e-01
 0.115708e+00 0.890735e+10 0.368009e-01
 0.115708e+00 0.890735e+10 0.473155e-01
 0.115708e+00 0.890735e+10 0.578300e-01
 0.115708e+00 0.890735e+10 0.683446e-01
 0.115708e+00 0.890735e+10 0.788591e-01
 0.115708e+00 0.890735e+10 0.893737e-01
 0.115708e+00 0.890735e+10 0.998882e-01
 0.115708e+00 0.890735e+10 0.110403e+00
 0.115708e+00 0.890735e+10 0.120917e+00
 0.115708e+00 0.890735e+10 0.131432e+00
 0.115708e+00 0.890735e+10 0.141946e+00
 0.115708e+00 0.890735e+10 0.152461e+00
 0.115708e+00 0.890735e+10 0.162976e+00
 0.115708e+00 0.890735e+10 0.173490e+00
 0.115708e+00 0.890735e+10 0.184005e+00
 0.115708e+00 0.890735e+10 0.194519e+00
 0.115708e+00 0.890735e+10 0.205034e+00
 0.115708e+00 0.890735e+10 0.215548e+00
 0.115708e+00 0.890735e+10 0.226063e+00
 0.115708e+00 0.890735e+10 0.236577e+00
 0.115708e+00 0.890735e+10 0.247092e+00
 0.115708e+00 0.890735e+10 0.257606e+00
 0.115708e+00 0.890735e+10 0.268121e+00
 0.115708e+00 0.890735e+10 0.278636e+00
 0.115708e+00 0.890735e+10 0.289150e+00
 0.115708e+00 0.890735e+10 0.299665e+00
 0.115708e+00 0.890735e+10 0.310179e+00
 0.115708e+00 0.890735e+10 0.320694e+00
 0.115708e+00 0.890735e+10 0.331208e+00
 0.115708e+00 0.890735e+10 0.341723e+00
 0.115708e+00 0.890735e+10 0.352237e+00
 0.115708e+00 0.890735e+10 0.362752e+00
 0.115708e+00 0.890735e+10 0.373267e+00
 0.115708e+00 0.890735e+10 0.383781e+00
 0.115708e+00 0.890735e+10 0.394296e+00
 0.115708e+00 0.890735e+10 0.404810e+00
 0.115708e+00 0.890735e+10 0.415325e+00
 0.115708e+00 0.890735e+10 0.425839e+00
 0.115708e+00 0.890735e+10 0.436354e+00
 0.115708e+00 0.890735e+10 0.446868e+00
 0.115708e+00 0.890735e+10 0.457383e+00
 0.115708e+00 0.890735e+10 0.467897e+00
 0.115708e+00 0.890735e+10 0.478412e+00
 0.115708e+00 0.890735e+10 0.488927e+00
 0.115708e+00 0.890735e+10 0.499441e+00
 0.115708e+00 0.890735e+10 0.509956e+00
 0.115708e+00 0.890735e+10 0.520470e+00
 0.115708e+00 0.890735e+10 0.530985e+00
 0.115708e+00 0.890735e+10 0.541499e+00
 0.115708e+00 0.890735e+10 0.552014e+00
 0.115708e+00 0.890735e+10 0.562528e+00
 0.115708e+00 0.890735e+10 0.573043e+00
 0.115708e+00 0.890735e+10 0.583558e+00
 0.115708e+00 0.890735e+10 0.594072e+00
 0.115708e+00 0.890735e+10 0.604587e+00
 0.115708e+00 0.890735e+10 0.615101e+00
