M_GeV T_GeV <g1>/T
5.000000000000000000e-01 1.176811952434999170e+06 7.270859029143341562e-03
5.000000000000000000e-01 1.291549665014882572e+06 7.254489954546318974e-03
5.000000000000000000e-01 1.417474162926804740e+06 7.246364890995239325e-03
5.000000000000000000e-01 1.555676143930472201e+06 7.230239027704529926e-03
5.000000000000000000e-01 1.707352647470688680e+06 7.222236719998249323e-03
5.000000000000000000e-01 1.873817422860383056e+06 7.206345522839954776e-03
5.000000000000000000e-01 2.056512308348651510e+06 7.190607709260808840e-03
5.000000000000000000e-01 2.257019719633921515e+06 7.182798437192122569e-03
5.000000000000000000e-01 2.477076355991709046e+06 7.167286633058982115e-03
5.000000000000000000e-01 2.718588242732940242e+06 7.159588604171547577e-03
5.000000000000000000e-01 2.983647240283340216e+06 7.144301004277885808e-03
5.000000000000000000e-01 3.274549162877731491e+06 7.129160842354196649e-03
5.000000000000000000e-01 3.593813663804625627e+06 7.121640570443809638e-03
5.000000000000000000e-01 3.944206059437655844e+06 7.106708293525710457e-03
5.000000000000000000e-01 4.328761281083061360e+06 7.091916524870269835e-03
5.000000000000000000e-01 4.750810162102793343e+06 7.084575240330837770e-03
5.000000000000000000e-01 5.214008287999683991e+06 7.069984996891219391e-03
5.000000000000000000e-01 5.722367659350220114e+06 7.062744621590164897e-03
5.000000000000000000e-01 6.280291441834246740e+06 7.048354761285236837e-03
5.000000000000000000e-01 6.892612104349695146e+06 7.034095950451076107e-03
5.000000000000000000e-01 7.564633275546290912e+06 7.027019354051091196e-03
5.000000000000000000e-01 8.302175681319751777e+06 7.012954922210895385e-03
5.000000000000000000e-01 9.111627561154887080e+06 7.005971181455450218e-03
5.000000000000000000e-01 1.000000000000000000e+07 6.992091675030885113e-03
7.000000000000000666e-01 1.000000000000000000e+02 1.756039796296494579e-02
7.000000000000000666e-01 1.023531021899025859e+02 1.693975844953607077e-02
7.000000000000000666e-01 1.047615752789664043e+02 1.640786132024291480e-02
7.000000000000000666e-01 1.072267222010323167e+02 1.580015242856580224e-02
7.000000000000000666e-01 1.097498765493055686e+02 1.520977079923440008e-02
7.000000000000000666e-01 1.123324032978026565e+02 1.465474822911199890e-02
7.000000000000000666e-01 1.149756995397735579e+02 1.414508914729486685e-02
7.000000000000000666e-01 1.176811952434997863e+02 1.368601834383838776e-02
7.000000000000000666e-01 1.204503540258782408e+02 1.328224765870075590e-02
7.000000000000000666e-01 1.232846739442065882e+02 1.291894845407811840e-02
7.000000000000000666e-01 1.261856883066019748e+02 1.260238944397652598e-02
7.000000000000000666e-01 1.291549665014883885e+02 1.230120248701912881e-02
7.000000000000000666e-01 1.321941148466028721e+02 1.203432922239156509e-02
7.000000000000000666e-01 1.353047774579807481e+02 1.180224380727602947e-02
7.000000000000000666e-01 1.384886371393873219e+02 1.162154252173641308e-02
7.000000000000000666e-01 1.417474162926804695e+02 1.143801585220685472e-02
7.000000000000000666e-01 1.450828778495940128e+02 1.140776204347818124e-02
7.000000000000000666e-01 1.484968262254465117e+02 1.156879510279670495e-02
7.000000000000000666e-01 1.519911082952933157e+02 1.111493157845522793e-02
