M_GeV T_GeV <S1>/T
2.000000000000000000e+04 7.924828983539169712e+04 8.133876170541745176e-04
2.000000000000000000e+04 8.697490026177834079e+04 7.073529453790443214e-04
2.000000000000000000e+04 9.545484566618327517e+04 6.137745257003512879e-04
2.000000000000000000e+04 1.047615752789664111e+05 5.315974697267246115e-04
2.000000000000000000e+04 1.149756995397735591e+05 4.592579522675295034e-04
2.000000000000000000e+04 1.261856883066018490e+05 3.960374649309573569e-04
2.000000000000000000e+04 1.384886371393871668e+05 3.407272544308080522e-04
2.000000000000000000e+04 1.519911082952933211e+05 2.925857891141223446e-04
2.000000000000000000e+04 1.668100537200059043e+05 2.507828326498725657e-04
2.000000000000000000e+04 1.830738280295369623e+05 2.145253791430771736e-04
2.000000000000000000e+04 2.009233002565045899e+05 1.831943583200176676e-04
2.000000000000000000e+04 2.205130739903045469e+05 1.561513894875905795e-04
2.000000000000000000e+04 2.420128264794383431e+05 1.328782844576933324e-04
2.000000000000000000e+04 2.656087782946684165e+05 1.128844409095103302e-04
2.000000000000000000e+04 2.915053062825175584e+05 9.576130929515602210e-05
2.000000000000000000e+04 3.199267137797384639e+05 8.111093664020449783e-05
2.000000000000000000e+04 3.511191734215127653e+05 6.859521243431191155e-05
2.000000000000000000e+04 3.853528593710527639e+05 5.794186414826971220e-05
2.000000000000000000e+04 4.229242874389498611e+05 4.886879089207328867e-05
2.000000000000000000e+04 4.641588833612772287e+05 4.117295141007434498e-05
2.000000000000000000e+04 5.094138014816375216e+05 3.464981598776170743e-05
2.000000000000000000e+04 5.590810182512222091e+05 2.911929572141919498e-05
2.000000000000000000e+04 6.135907273413175717e+05 2.445438996337990288e-05
2.000000000000000000e+04 6.734150657750827959e+05 2.050890641269533551e-05
2.000000000000000000e+04 7.390722033525775187e+05 1.719066388534529105e-05
2.000000000000000000e+04 8.111308307896872284e+05 1.439723577685946332e-05
2.000000000000000000e+04 8.902150854450393235e+05 1.204316995145996695e-05
2.000000000000000000e+04 9.770099572992246831e+05 1.007077108249523488e-05
2.000000000000000000e+04 1.072267222010323079e+06 8.411923682750105296e-06
2.000000000000000000e+04 1.176811952434999170e+06 7.024991672158124050e-06
2.000000000000000000e+04 1.291549665014882572e+06 5.863480678971046469e-06
2.000000000000000000e+04 1.417474162926804740e+06 4.888992291471158899e-06
2.000000000000000000e+04 1.555676143930472201e+06 4.076563977817237872e-06
2.000000000000000000e+04 1.707352647470688680e+06 3.395913662595145858e-06
2.000000000000000000e+04 1.873817422860383056e+06 2.829202227521283644e-06
2.000000000000000000e+04 2.056512308348651510e+06 2.356261087480250505e-06
2.000000000000000000e+04 2.257019719633921515e+06 1.960795471038581627e-06
2.000000000000000000e+04 2.477076355991709046e+06 1.632140224276697097e-06
2.000000000000000000e+04 2.718588242732940242e+06 1.357525209407872190e-06
2.000000000000000000e+04 2.983647240283340216e+06 1.129504916993927507e-06
2.000000000000000000e+04 3.274549162877731491e+06 9.396110512498793071e-07
2.000000000000000000e+04 3.593813663804625627e+06 7.811264346318715327e-07
2.000000000000000000e+04 3.944206059437655844e+06 6.496347497553192334e-07
2.000000000000000000e+04 4.328761281083061360e+06 5.402176576347372948e-07
2.000000000000000000e+04 4.750810162102793343e+06 4.489498173130015220e-07
2.000000000000000000e+04 5.214008287999683991e+06 3.732690435409481447e-07
2.000000000000000000e+04 5.722367659350220114e+06 3.101601599312757873e-07
2.000000000000000000e+04 6.280291441834246740e+06 2.578449340657247696e-07
2.000000000000000000e+04 6.892612104349695146e+06 2.143439949021728680e-07
2.000000000000000000e+04 7.564633275546290912e+06 1.780815585011445857e-07
2.000000000000000000e+04 8.302175681319751777e+06 1.480255315982581506e-07
2.000000000000000000e+04 9.111627561154887080e+06 1.229746684379817196e-07
2.000000000000000000e+04 1.000000000000000000e+07 1.022147327331884233e-07
3.000000000000000000e+04 1.000000000000000000e+02 5.968310365946075002e+00
3.000000000000000000e+04 1.023531021899025859e+02 5.831098655781500995e+00
3.000000000000000000e+04 1.047615752789664043e+02 5.697041448692655941e+00
3.000000000000000000e+04 1.072267222010323167e+02 5.566066222519125084e+00
3.000000000000000000e+04 1.097498765493055686e+02 5.438102122388072779e+00
3.000000000000000000e+04 1.123324032978026565e+02 5.313079922383199261e+00
3.000000000000000000e+04 1.149756995397735579e+02 5.190931988094977356e+00
3.000000000000000000e+04 1.176811952434997863e+02 5.071592240031858267e+00
3.000000000000000000e+04 1.204503540258782408e+02 4.954996117872604522e+00
3.000000000000000000e+04 1.232846739442065882e+02 4.841080545540542346e+00
3.000000000000000000e+04 1.261856883066019748e+02 4.729783897080677590e+00
3.000000000000000000e+04 1.291549665014883885e+02 4.621045963321352978e+00
3.000000000000000000e+04 1.321941148466028721e+02 4.514807919302354478e+00
3.000000000000000000e+04 1.353047774579807481e+02 4.411012292451793826e+00
3.000000000000000000e+04 1.384886371393873219e+02 4.309602931494686651e+00
3.000000000000000000e+04 1.417474162926804695e+02 4.210524976076242432e+00
3.000000000000000000e+04 1.450828778495940128e+02 4.113724827083568236e+00
3.000000000000000000e+04 1.484968262254465117e+02 4.019150117649680887e+00
3.000000000000000000e+04 1.519911082952933157e+02 3.926749684824092146e+00
3.000000000000000000e+04 1.555676143930472222e+02 3.836473541894730221e+00
3.000000000000000000e+04 1.592282793341092315e+02 3.748272851346179380e+00
3.000000000000000000e+04 1.629750834620643332e+02 3.662099898439578283e+00
3.000000000000000000e+04 1.668100537200059250e+02 3.577908065399946214e+00
3.000000000000000000e+04 1.707352647470690385e+02 3.495651806196956812e+00
3.000000000000000000e+04 1.747528400007682876e+02 3.415286621905450293e+00
3.000000000000000000e+04 1.788649529057435075e+02 3.336769036632456942e+00
3.000000000000000000e+04 1.830738280295367701e+02 3.260056573997654805e+00
3.000000000000000000e+04 1.873817422860383033e+02 3.185107734154508652e+00
